product_id,category,item_name,current_stock,minimum_stock,maximum_stock,avg_daily_sales,lead_time_days,last_restock_date,unit_price
P001,Groceries,Rice,92,33,110,11,2,2024-10-18,63.88
P002,Groceries,Dal,82,33,110,11,2,2024-10-19,15.23
P003,Groceries,Sugar,99,36,120,12,1,2024-10-18,73.73
P004,Groceries,Oil,1,30,100,10,1,2024-10-18,84.92
P005,Groceries,Flour,63,30,100,10,2,2024-10-21,65.57
P006,Groceries,Salt,88,42,140,14,2,2024-10-25,57.23
P007,Groceries,Milk,187,57,190,19,2,2024-10-23,44.42
P008,Snacks,Chips,130,58,203,29,3,2024-10-21,64.68
P009,Snacks,Biscuits,17,36,126,18,2,2024-10-22,94.8
P010,Snacks,Nuts,8,46,161,23,3,2024-10-21,30.78
P011,Snacks,Chocolates,7,48,168,24,3,2024-10-23,91.84
P012,Snacks,Candies,3,26,91,13,3,2024-10-24,48.26
P013,Beverages,Soda,53,38,133,19,3,2024-10-24,79.76
P014,Beverages,Water,61,22,77,11,3,2024-10-22,63.81
P015,Beverages,Juice,39,50,175,25,2,2024-10-21,44.98
P016,Beverages,Tea,52,54,189,27,2,2024-10-18,42.11
P017,Beverages,Coffee,14,44,154,22,2,2024-10-25,11.41
P018,Household,Soap,11,10,30,2,3,2024-10-18,10.5
P019,Household,Detergent,16,20,60,4,5,2024-10-18,75.61
P020,Household,Tissues,4,10,30,2,5,2024-10-19,68.6
P021,Household,Toothpaste,72,25,75,5,5,2024-10-18,50.45
P022,Household,Shampoo,22,10,30,2,5,2024-10-18,69.93
P023,Stationery,Pens,34,25,75,5,4,2024-10-25,44.46
P024,Stationery,Notebooks,0,35,105,7,5,2024-10-21,60.51
P025,Stationery,Pencils,26,35,105,7,5,2024-10-17,73.96
P026,Stationery,Erasers,12,15,45,3,4,2024-10-23,12.83
